HISTORIC DATA TABLE ($USD unless otherwise noted),,,,,,,,,,,,,,,
updated 21DEC24  |  Please e-mail corrections and additions to this address:  sportdeath @  comcast . net  (remove the spaces around the @ and .),,,,,,,,,,,,,,,
LETTER KEY for REFERENCE NUMBERS (###.### + letter):  D=Deutsch (German) dial;  E=English dial;  F=Single-folding deployant buckle;  G=Double-folding deployant buckle; X=variation of a standard model,,,,,,,,,,,,,,,
"PLEASE LOOK FOR THIS STOLEN LANGE WATCH, CLICK HERE: # 39/100 (caseback # 117439, movement # 7439)",,,,,,,,,,,,,,,
REF. NO. (SORTED BY FAMILY/ MODEL),FAMILY / MODEL (ALPHABETICALLY SORTED),CASE METAL,DIAL,HANDS,STRAP,LUG & BUCKLE WIDTHS (mm),CASE SIZE diam/height (mm),MOVEMENT CALIBRE,LTD. ED.?,NOTES,FIRST YEAR MADE,LATEST YEAR REPORTED MADE,FIRST YEAR PRICE,LATEST PRICE (RED IS CURRENT),REF. NO. (SORTED BY FAMILY/ MODEL)
206.S26,1815,SS,black,white metal,crocodile,19/16,35.9/7.5,L941.1,N/A,"Service watches, 100-150 made, owned by Lange, not for retail sale (c.1998).",N/A,N/A,see notes,see notes,206.S26
206.001,1815,YG,silver,blue steel,crocodile,19/16,35.9/7.5,L941.1,no,Solid caseback.,1995,1997,"DM 11,900","DM 11,900",206.001
206.021,1815,YG,silver,blue steel,crocodile,19/16,35.9/7.5,L941.1,no,"First listed 1995, first available 1996.",1995,2008,"$8,700","$12,500",206.021
"206.021 ""Blome""",1815,YG,"silver witth ""XLVII BLOME""",blue steel,crocodile,19/16,35.9/7.5,L941.1,10,"LE number ""X/10"" engraved on movement, not caseback. For 50th anniversary of Dusseldorf retailer H.D. Blome (1997).",1997,1997,?,?,"206.021 ""Blome"""
206.025,1815,PT,silver,blue steel,crocodile,19/16,35.9/7.5,L941.1,no,"First listed 1995, first available 1996. Some had solid caseback.",1995,2007,"$13,000","$17,400",206.025
206.027,1815,WG,blue,WG,crocodile,19/16,35.9/7.5,L941.1,no,,1998,1999,"$8,900","$8,900",206.027
206.029,1815,WG,black,WG,crocodile,19/16,35.9/7.5,L941.1,no,,2005,2008,"$10,100","$12,500",206.029
206.032,1815,RG,silver,RG,crocodile,19/16,35.9/7.5,L941.1,no,,2001,2008,"$8,900","$12,500",206.032
206.032X,1815,RG,silver,blue steel,crocodile,19/16,35.9/7.5,L941.1,no,"Few made, c.2007.",2007,2007,"$11,900","$11,900",206.032X
212.050,"1815 Moonphase ""F.A. Lange Homage 165th Anniversary""",HG,"solid gold, argenté, guillloched",blue steel,croc (reddish),19/16,37.4/8.9,L943.2,265,#1-21 (or perhaps #1-50) sold to dealers in 3-piece sets with 712.050 and 722.050.,2010,2013,"$24,500","$24,500",212.050
221.021,1815 Up/Down,YG,silver,blue steel,crocodile,19/16,35.9/7.9,L942.1,no,,1997,2008,"$12,700","$17,200",221.021
221.025,1815 Up/Down,PT,silver,blue steel,crocodile,19/16,35.9/7.9,L942.1,no,,1997,2008,"$17,500","$23,400",221.025
221.027,1815 Up/Down,WG,blue,WG,crocodile,19/16,35.9/7.9,L942.1,no,,1997,2001,"$12,700","$12,700",221.027
221.032,1815 Up/Down,RG,silver,RG,crocodile,19/16,35.9/7.9,L942.1,no,,2001,2008,"$12,700","$17,200",221.032
222.048,"1815 ""Side Step"" (Wempe)",RG,black,RG,croc (brown),19/16,35.9/7.45,L944.1,75,Movement has floral engraving. Cases numbered 151101-151175 and movements numbered 41101-41175. For 125th anniversary of retailer Wempe (2003).,2003,2004,"$14,600","$14,600",222.048
222.049,"1815 ""Side Step"" (Wempe)",PT,black,WG,croc (black),19/16,35.9/7.45,L944.1,50,Movement has floral engraving. Cases numbered 151001-151050 and movements numbered 41001-41050. For 125th anniversary of retailer Wempe (2003).,2003,2004,"$19,800","$19,800",222.049
