LANGE MOVEMENT CALIBRE CHARACTERISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
updated 30AUG24  |  Please e-mail corrections and additions to this address:  sportdeath @  comcast . net  (remove the spaces around the @ and .),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CAL. NUMBERING: ""Lwxy.z"" → ""wx""=year development began, ""y""=sequence # in that development year, ""z""=variation # (Ex: L043.5 = 3rd movement developed in 2004 & 5th variation of base cal. L043; L901.0 development began 1990)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PLEASE LOOK FOR THIS STOLEN LANGE WATCH, CLICK HERE: # 39/100 (caseback # 117439, movement # 7439)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOVEMENT CALIBRE,Typical Model,Years Sold,Winding Type,Diameter (mm),Height (mm),Parts,Rubies,Diamonds,Chatons,Power Reserve (hours),Frequency,Balance Adjust,Balance Spring,Barrels,Tourbillon,Fusée & Chain,Acoustics,Seconds Mechanism,Column Wheel,Power Reserve Display,Hours/ Minutes,Seconds,Date,Day,Week,Month,Leap Year,Time Zone,Day/Night or 12/24H,Moonphase,Chronograph,Flyback,Split,Notes
L001.1,Double Split,2004-2018,Manual,30.60,9.45,465,40,0,4,38,"  21,600   ",weights,Lange in-house,1,no,no,none,stop,2,subdial,center,subdial,no,no,no,no,no,no,no,no,yes,yes,min/sec,
L021.1,Lange 1 Daymatic,2010-now,Automatic,31.60,6.10,426,67,0,7,50,"  21,600   ",weights,Lange in-house,1,no,no,none,stop,no,no,subdial,subdial,Big Date,hand/arc,no,no,no,no,no,no,no,no,no,
L021.3,Lange 1 Perpetual Calendar,2021-now,Automatic,35.80,8.8,621,63,0,5,50,"  21,600   ",screws,Lange in-house,1,no,no,none,stop,no,no,subdial,subdial,Big Date,hand/arc,no,main dial ring,window,no,sky disc,yes,no,no,no,1-push 1-day calendar advance
L031.1,Lange 1 Timezone,2005-2020?,Manual,34.10,6.65,417,54,0,4,72,"  21,600   ",screws,Nivarox®,2,no,no,none,stop,no,subdial,subdial,subdial,Big Date,no,no,no,no,subdial,hand/arc,no,no,no,no,
L033.1,Richard Lange Referenzuhr,2010-2013,Manual,30.60,6.80,276,34,0,1,38,"  21,600   ",weights,Lange in-house,1,no,no,none,Zero Reset,no,subdial,center,subdial,no,no,no,no,no,no,no,no,no,no,no,
L034.1,Lange 31,2009-now,Key,37.30,9.60,406,62,0,3,744,"  21,600   ",screws,Nivarox®,2,no,no,none,stop,no,subdial,center,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,
L041.2,Richard Lange,2006-now,Manual,30.60,6.00,199,26,0,2,38,"  21,600   ",weights,Lange in-house,1,no,no,none,stop,no,no,center,center,no,no,no,no,no,no,no,no,no,no,no,lift angle 41°
L042.1,Cabaret Tourbillon,2008-2013,Manual,22.3 x 32.6,6.35,373,45,2,9,120,"  21,600   ",screws*,Lange in-house,2,yes,no,none,stop,no,subdial,center,subdial,Big Date,no,no,no,no,no,no,no,no,no,no,"*In 2021, updated w/in-house free-sprung balance w/weights"
L043.1,Zeitwerk,2009-2022,Manual,33.60,9.30,415,68,0,2,36,"  18,000   ",weights,Lange in-house,1,no,no,none,stop,no,subdial,digital,subdial,no,no,no,no,no,no,no,no,no,no,no,lift angle ~ 41°
L043.2,Zeitwerk Striking Time,2011-now,Manual,36.00,10.00,528,78,0,2,36,"  18,000   ",weights,Lange in-house,1,no,no,quarter sonnerie,stop,no,subdial,digital,subdial,no,no,no,no,no,no,no,no,no,no,no,
